Line Rect: Rect(194.08999633789062, 39.5999755859375, 401.1099853515625, 63.0)
Line Rect: Rect(221.08999633789062, 129.3800048828125, 374.1099853515625, 130.3399658203125)
Line Rect: Rect(71.42400360107422, 207.1400146484375, 71.90400695800781, 207.6199951171875)
Line Rect: Rect(138.25999450683594, 207.1400146484375, 138.739990234375, 207.6199951171875)
Line Rect: Rect(205.00999450683594, 207.1400146484375, 205.49000549316406, 207.6199951171875)
Line Rect: Rect(205.49000549316406, 207.1400146484375, 224.45001220703125, 207.6199951171875)
Line Rect: Rect(224.4499969482422, 207.1400146484375, 224.9300079345703, 207.6199951171875)
Line Rect: Rect(224.92999267578125, 207.1400146484375, 244.72999572753906, 207.6199951171875)
Line Rect: Rect(244.72999572753906, 207.1400146484375, 245.2100067138672, 207.6199951171875)
Line Rect: Rect(245.2100067138672, 207.1400146484375, 266.45001220703125, 207.6199951171875)
Line Rect: Rect(266.45001220703125, 207.1400146484375, 266.9300231933594, 207.6199951171875)
Line Rect: Rect(266.92999267578125, 207.1400146484375, 285.28997802734375, 207.6199951171875)
Line Rect: Rect(285.2900085449219, 207.1400146484375, 285.77001953125, 207.6199951171875)
Line Rect: Rect(285.7699890136719, 207.1400146484375, 306.3139953613281, 207.6199951171875)
Line Rect: Rect(306.30999755859375, 207.1400146484375, 306.78997802734375, 207.6199951171875)
Line Rect: Rect(306.7900085449219, 207.1400146484375, 326.4700012207031, 207.6199951171875)
Line Rect: Rect(326.4700012207031, 207.1400146484375, 326.9499816894531, 207.6199951171875)
Line Rect: Rect(326.95001220703125, 207.1400146484375, 523.800048828125, 207.6199951171875)
Line Rect: Rect(523.7999877929688, 207.1400146484375, 524.280029296875, 207.6199951171875)
Line Rect: Rect(71.42400360107422, 207.6199951171875, 71.90400695800781, 239.65997314453125)
Line Rect: Rect(138.25999450683594, 207.6199951171875, 138.739990234375, 239.65997314453125)
Line Rect: Rect(205.00999450683594, 207.6199951171875, 205.49000549316406, 239.65997314453125)
Line Rect: Rect(224.4499969482422, 207.6199951171875, 224.9300079345703, 239.65997314453125)
Line Rect: Rect(244.72999572753906, 207.6199951171875, 245.2100067138672, 239.65997314453125)
Line Rect: Rect(266.45001220703125, 207.6199951171875, 266.9300231933594, 239.65997314453125)
Line Rect: Rect(285.2900085449219, 207.6199951171875, 285.77001953125, 239.65997314453125)
Line Rect: Rect(306.30999755859375, 207.6199951171875, 306.78997802734375, 239.65997314453125)
Line Rect: Rect(326.4700012207031, 207.6199951171875, 326.9499816894531, 239.65997314453125)
Line Rect: Rect(523.7999877929688, 207.6199951171875, 524.280029296875, 239.65997314453125)
Line Rect: Rect(71.42400360107422, 239.65997314453125, 71.90400695800781, 240.13995361328125)
Line Rect: Rect(71.90399932861328, 239.65997314453125, 138.26400756835938, 240.13995361328125)
Line Rect: Rect(138.25999450683594, 239.65997314453125, 138.739990234375, 240.13995361328125)
Line Rect: Rect(138.74000549316406, 239.65997314453125, 205.00399780273438, 240.13995361328125)
Line Rect: Rect(205.00999450683594, 239.65997314453125, 205.49000549316406, 240.13995361328125)
Line Rect: Rect(205.49000549316406, 239.65997314453125, 224.45001220703125, 240.13995361328125)
Line Rect: Rect(224.4499969482422, 239.65997314453125, 224.9300079345703, 240.13995361328125)
Line Rect: Rect(224.92999267578125, 239.65997314453125, 244.72999572753906, 240.13995361328125)
Line Rect: Rect(244.72999572753906, 239.65997314453125, 245.2100067138672, 240.13995361328125)
Line Rect: Rect(245.2100067138672, 239.65997314453125, 266.45001220703125, 240.13995361328125)
Line Rect: Rect(266.45001220703125, 239.65997314453125, 266.9300231933594, 240.13995361328125)
Line Rect: Rect(266.92999267578125, 239.65997314453125, 285.28997802734375, 240.13995361328125)
Line Rect: Rect(285.2900085449219, 239.65997314453125, 285.77001953125, 240.13995361328125)
Line Rect: Rect(285.7699890136719, 239.65997314453125, 306.3139953613281, 240.13995361328125)
Line Rect: Rect(306.30999755859375, 239.65997314453125, 306.78997802734375, 240.13995361328125)
Line Rect: Rect(306.7900085449219, 239.65997314453125, 326.4700012207031, 240.13995361328125)
